V1,V2,P1,P2,timestamp
2039,2074,0,0,2025-09-07 00:29:33
2033,2075,0,0,2025-09-07 00:29:33
2043,2081,0,0,2025-09-07 00:29:33
2042,2080,0,0,2025-09-07 00:29:33
2041,2085,0,0,2025-09-07 00:29:33
2038,2086,0,0,2025-09-07 00:29:33
2031,2086,0,0,2025-09-07 00:29:33
2034,2089,0,0,2025-09-07 00:29:33
2034,2095,0,0,2025-09-07 00:29:33
2035,2096,0,0,2025-09-07 00:29:33
2033,2096,0,0,2025-09-07 00:29:33
2037,2095,0,0,2025-09-07 00:29:33
2038,2098,0,0,2025-09-07 00:29:33
2030,2098,0,0,2025-09-07 00:29:33
2040,2097,0,0,2025-09-07 00:29:33
2033,2101,0,0,2025-09-07 00:29:33
2036,2095,0,0,2025-09-07 00:29:33
2036,2103,0,0,2025-09-07 00:29:33
2033,2103,0,0,2025-09-07 00:29:33
2033,2102,0,0,2025-09-07 00:29:33
2037,2102,0,0,2025-09-07 00:29:33
2031,2100,0,0,2025-09-07 00:29:33
2035,2099,0,0,2025-09-07 00:29:33
2032,2098,0,0,2025-09-07 00:29:33
2042,2094,139,0,2025-09-07 00:29:33
2036,2096,0,0,2025-09-07 00:29:33
2039,2094,0,0,2025-09-07 00:29:33
2042,2094,0,0,2025-09-07 00:29:33
2041,2092,0,0,2025-09-07 00:29:33
2043,2088,0,0,2025-09-07 00:29:33
2043,2092,0,0,2025-09-07 00:29:33
2044,2093,0,0,2025-09-07 00:29:33
2044,2091,0,0,2025-09-07 00:29:33
2045,2090,0,0,2025-09-07 00:29:33
2045,2087,0,0,2025-09-07 00:29:33
2047,2088,0,0,2025-09-07 00:29:33
2049,2088,0,0,2025-09-07 00:29:33
2045,2083,0,0,2025-09-07 00:29:33
2044,2087,0,0,2025-09-07 00:29:33
2042,2084,0,0,2025-09-07 00:29:33
2044,2086,0,0,2025-09-07 00:29:33
2045,2084,0,0,2025-09-07 00:29:33
2047,2082,0,0,2025-09-07 00:29:33
2047,2084,0,0,2025-09-07 00:29:33
2049,2080,0,0,2025-09-07 00:29:33
2042,2083,0,0,2025-09-07 00:29:33
2049,2081,0,0,2025-09-07 00:29:33
2040,2084,0,0,2025-09-07 00:29:33
2046,2079,0,0,2025-09-07 00:29:33
2050,2079,0,0,2025-09-07 00:29:33
2044,2077,0,0,2025-09-07 00:29:33
2041,2077,0,0,2025-09-07 00:29:33
2044,2080,0,0,2025-09-07 00:29:33
2041,2073,0,0,2025-09-07 00:29:33
2037,2073,0,0,2025-09-07 00:29:33
2040,2070,0,0,2025-09-07 00:29:33
2041,2072,0,0,2025-09-07 00:29:33
2030,2068,0,0,2025-09-07 00:29:33
2038,2065,0,0,2025-09-07 00:29:33
2030,2064,0,0,2025-09-07 00:29:33
2028,2064,0,0,2025-09-07 00:29:33
2030,2059,0,0,2025-09-07 00:29:33
2028,2062,0,0,2025-09-07 00:29:33
2033,2054,0,0,2025-09-07 00:29:33
2023,2055,0,0,2025-09-07 00:29:33
2028,2046,0,0,2025-09-07 00:29:33
2027,2047,0,0,2025-09-07 00:29:33
2023,2044,0,0,2025-09-07 00:29:33
2028,2029,0,0,2025-09-07 00:29:33
2026,2021,0,0,2025-09-07 00:29:33
2032,2014,0,0,2025-09-07 00:29:33
2029,2003,0,0,2025-09-07 00:29:33
2032,1993,0,0,2025-09-07 00:29:33
2031,1990,0,0,2025-09-07 00:29:33
2034,1985,0,0,2025-09-07 00:29:33
2040,1983,0,0,2025-09-07 00:29:33
2037,1975,0,0,2025-09-07 00:29:34
2041,1977,0,0,2025-09-07 00:29:34
2045,1980,0,0,2025-09-07 00:29:34
2042,1984,0,0,2025-09-07 00:29:34
2046,1982,0,0,2025-09-07 00:29:34
2044,1981,0,0,2025-09-07 00:29:34
2043,1985,0,0,2025-09-07 00:29:34
2045,1987,0,0,2025-09-07 00:29:34
2047,1987,0,0,2025-09-07 00:29:34
2043,1989,0,0,2025-09-07 00:29:34
2041,1995,760,0,2025-09-07 00:29:34
2040,1994,0,0,2025-09-07 00:29:34
2047,1998,0,0,2025-09-07 00:29:34
2040,2005,0,0,2025-09-07 00:29:34
2042,2003,0,0,2025-09-07 00:29:34
2042,2006,0,0,2025-09-07 00:29:34
2040,2006,527,0,2025-09-07 00:29:34
2039,2010,47,0,2025-09-07 00:29:34
2036,2010,10,0,2025-09-07 00:29:34
2033,2013,0,0,2025-09-07 00:29:34
2037,2015,0,0,2025-09-07 00:29:34
2032,2021,633,0,2025-09-07 00:29:34
2032,2023,616,0,2025-09-07 00:29:34
2033,2028,0,0,2025-09-07 00:29:34
2031,2025,0,0,2025-09-07 00:29:34
2035,2025,302,0,2025-09-07 00:29:34
2035,2031,0,0,2025-09-07 00:29:34
2033,2030,139,0,2025-09-07 00:29:34
2047,2032,0,0,2025-09-07 00:29:34
2036,2031,0,0,2025-09-07 00:29:34
2042,2033,0,0,2025-09-07 00:29:34
2046,2032,0,0,2025-09-07 00:29:34
2041,2037,0,0,2025-09-07 00:29:34
2042,2037,0,0,2025-09-07 00:29:34
2038,2039,0,0,2025-09-07 00:29:34
2045,2041,0,0,2025-09-07 00:29:34
2044,2039,0,0,2025-09-07 00:29:34
2040,2043,0,0,2025-09-07 00:29:34
2046,2047,0,0,2025-09-07 00:29:34
2039,2042,0,0,2025-09-07 00:29:34
2043,2041,0,0,2025-09-07 00:29:34
2037,2043,0,0,2025-09-07 00:29:34
2041,2045,0,0,2025-09-07 00:29:34
2042,2047,0,0,2025-09-07 00:29:34
2038,2050,0,0,2025-09-07 00:29:34
2040,2049,0,0,2025-09-07 00:29:34
2038,2048,0,0,2025-09-07 00:29:34
2040,2053,0,0,2025-09-07 00:29:34
2034,2053,0,0,2025-09-07 00:29:34
2028,2056,0,0,2025-09-07 00:29:34
2031,2054,0,0,2025-09-07 00:29:34
2022,2057,0,0,2025-09-07 00:29:34
2030,2056,0,0,2025-09-07 00:29:34
2031,2057,0,0,2025-09-07 00:29:34
2031,2061,0,0,2025-09-07 00:29:34
2032,2055,0,0,2025-09-07 00:29:34
2032,2056,0,0,2025-09-07 00:29:34
2033,2051,0,0,2025-09-07 00:29:34
2028,2055,0,0,2025-09-07 00:29:34
2025,2056,0,0,2025-09-07 00:29:34
2027,2052,0,0,2025-09-07 00:29:34
2032,2053,0,0,2025-09-07 00:29:34
2028,2049,0,0,2025-09-07 00:29:34
2032,2054,0,0,2025-09-07 00:29:34
2034,2050,0,0,2025-09-07 00:29:34
2034,2054,0,0,2025-09-07 00:29:34
2037,2052,0,0,2025-09-07 00:29:34
2037,2047,0,0,2025-09-07 00:29:34
2041,2049,0,0,2025-09-07 00:29:34
2035,2047,0,0,2025-09-07 00:29:34
2044,2046,0,0,2025-09-07 00:29:34
2040,2046,0,0,2025-09-07 00:29:34
2045,2051,0,0,2025-09-07 00:29:34
2038,2046,846,0,2025-09-07 00:29:34
2044,2048,992,0,2025-09-07 00:29:34
2042,2048,984,0,2025-09-07 00:29:34
2040,2042,969,0,2025-09-07 00:29:34
2045,2039,961,0,2025-09-07 00:29:34
2036,2038,953,0,2025-09-07 00:29:34
2037,2032,948,0,2025-09-07 00:29:34
2037,2026,943,0,2025-09-07 00:29:34
2034,2029,0,0,2025-09-07 00:29:34
2035,2024,0,0,2025-09-07 00:29:34
2030,2027,627,0,2025-09-07 00:29:34
2034,2027,950,0,2025-09-07 00:29:34
2029,2022,474,0,2025-09-07 00:29:34
2028,2025,455,0,2025-09-07 00:29:34
2031,2030,0,0,2025-09-07 00:29:34
2028,2023,0,0,2025-09-07 00:29:34
2027,2024,0,0,2025-09-07 00:29:34
2030,2019,4,0,2025-09-07 00:29:34
2035,2025,444,0,2025-09-07 00:29:34
2034,2023,0,0,2025-09-07 00:29:34
2037,2023,0,0,2025-09-07 00:29:34
2038,2025,0,0,2025-09-07 00:29:34
2033,2028,898,0,2025-09-07 00:29:34
2039,2024,972,0,2025-09-07 00:29:34
2042,2025,964,0,2025-09-07 00:29:34
2038,2022,0,0,2025-09-07 00:29:34
2043,2026,13,0,2025-09-07 00:29:34
2049,2029,810,0,2025-09-07 00:29:35
2044,2033,0,0,2025-09-07 00:29:35
2048,2033,0,0,2025-09-07 00:29:35
2045,2033,0,0,2025-09-07 00:29:35
2042,2034,0,0,2025-09-07 00:29:35
2044,2033,0,0,2025-09-07 00:29:35
2046,2036,0,0,2025-09-07 00:29:35
2045,2035,0,0,2025-09-07 00:29:35
2044,2030,0,0,2025-09-07 00:29:35
2046,2026,0,0,2025-09-07 00:29:35
2040,2031,0,0,2025-09-07 00:29:35
2045,2030,0,0,2025-09-07 00:29:35
2037,2030,0,0,2025-09-07 00:29:35
2042,2031,0,0,2025-09-07 00:29:35
2043,2033,0,0,2025-09-07 00:29:35
